Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
ShamGut_01_S1_L001_R1_001	78.84687105691661	38.0	100.0	20.0	90598232.0		
ShamGut_01_S1_L001_R2_001	71.64528282959022	39.0	100.0	40.0	90598232.0		
ShamGut_01_quant						66.30941870918629	60075161
ShamGut_02_S1_L001_R1_001	73.12900255987265	38.0	100.0	20.0	101198727.0		
ShamGut_02_S1_L001_R2_001	68.70534106965789	38.0	100.0	20.0	101198727.0		
ShamGut_02_quant						68.0279920912444	68843462
ShamGut_03_S1_L001_R1_001	74.85706897255507	38.0	100.0	20.0	96000143.0		
ShamGut_03_S1_L001_R2_001	70.25423353613071	39.0	100.0	30.0	96000143.0		
ShamGut_03_quant						67.96138209919124	65243024
ShamGut_04_S1_L001_R1_001	69.42316004598663	39.0	100.0	20.0	86372935.0		
ShamGut_04_S1_L001_R2_001	66.492381349505	39.0	100.0	30.0	86372935.0		
ShamGut_04_quant						64.56487208637752	55766575
StrokeGut_01_S1_L001_R1_001	71.72710756207913	38.0	100.0	20.0	86725188.0		
StrokeGut_01_S1_L001_R2_001	69.39546124791775	38.0	100.0	30.0	86725188.0		
StrokeGut_01_quant						70.45776827834608	61104632
StrokeGut_02_S1_L001_R1_001	74.05112920974905	38.0	100.0	20.0	85969485.0		
StrokeGut_02_S1_L001_R2_001	72.116457482963	38.0	100.0	30.0	85969485.0		
StrokeGut_02_quant						67.62249884363038	58134714
StrokeGut_03_S1_L001_R1_001	71.16582425645345	39.0	100.0	20.0	94622745.0		
StrokeGut_03_S1_L001_R2_001	68.7912869951077	39.0	100.0	30.0	94622745.0		
StrokeGut_03_quant						67.136749203376	63526635
StrokeGut_04_S1_L001_R1_001	76.45574274744897	39.0	100.0	30.0	78681665.0		
StrokeGut_04_S1_L001_R2_001	71.4129748042865	39.0	100.0	30.0	78681665.0		
StrokeGut_04_quant						61.882274606161424	48690004
