Module	Section	Sample Name	Source
Salmon	all_sections	StrokeGut_02_quant	/dss/dsshome1/lxc05/ra52noz2/rnaseq/quants/StrokeGut_02_quant/libParams/flenDist.txt
Salmon	all_sections	ShamGut_02_quant	/dss/dsshome1/lxc05/ra52noz2/rnaseq/quants/ShamGut_02_quant/libParams/flenDist.txt
Salmon	all_sections	StrokeGut_03_quant	/dss/dsshome1/lxc05/ra52noz2/rnaseq/quants/StrokeGut_03_quant/libParams/flenDist.txt
Salmon	all_sections	ShamGut_04_quant	/dss/dsshome1/lxc05/ra52noz2/rnaseq/quants/ShamGut_04_quant/libParams/flenDist.txt
Salmon	all_sections	ShamGut_03_quant	/dss/dsshome1/lxc05/ra52noz2/rnaseq/quants/ShamGut_03_quant/libParams/flenDist.txt
Salmon	all_sections	ShamGut_01_quant	/dss/dsshome1/lxc05/ra52noz2/rnaseq/quants/ShamGut_01_quant/libParams/flenDist.txt
Salmon	all_sections	StrokeGut_01_quant	/dss/dsshome1/lxc05/ra52noz2/rnaseq/quants/StrokeGut_01_quant/libParams/flenDist.txt
Salmon	all_sections	StrokeGut_04_quant	/dss/dsshome1/lxc05/ra52noz2/rnaseq/quants/StrokeGut_04_quant/libParams/flenDist.txt
FastQC	all_sections	ShamGut_03_S1_L001_R1_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/ShamGut_03_S1_L001_R1_001_fastqc.zip
FastQC	all_sections	StrokeGut_02_S1_L001_R2_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/StrokeGut_02_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	ShamGut_04_S1_L001_R1_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/ShamGut_04_S1_L001_R1_001_fastqc.zip
FastQC	all_sections	StrokeGut_01_S1_L001_R1_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/StrokeGut_01_S1_L001_R1_001_fastqc.zip
FastQC	all_sections	ShamGut_01_S1_L001_R2_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/ShamGut_01_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	ShamGut_03_S1_L001_R2_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/ShamGut_03_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	StrokeGut_03_S1_L001_R1_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/StrokeGut_03_S1_L001_R1_001_fastqc.zip
FastQC	all_sections	StrokeGut_03_S1_L001_R2_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/StrokeGut_03_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	StrokeGut_04_S1_L001_R2_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/StrokeGut_04_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	ShamGut_01_S1_L001_R1_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/ShamGut_01_S1_L001_R1_001_fastqc.zip
FastQC	all_sections	ShamGut_02_S1_L001_R2_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/ShamGut_02_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	StrokeGut_01_S1_L001_R2_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/StrokeGut_01_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	ShamGut_04_S1_L001_R2_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/ShamGut_04_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	StrokeGut_04_S1_L001_R1_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/StrokeGut_04_S1_L001_R1_001_fastqc.zip
FastQC	all_sections	StrokeGut_02_S1_L001_R1_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/StrokeGut_02_S1_L001_R1_001_fastqc.zip
FastQC	all_sections	ShamGut_02_S1_L001_R1_001	/dss/dsshome1/lxc05/ra52noz2/rnaseq/qc/fastqc/ShamGut_02_S1_L001_R1_001_fastqc.zip
