#mpa_vJun23_CHOCOPhlAnSGB_202307
clade_name	M10	M11	M16	M17	M19	M1	M20	M21	M2	M3	M4	M5	M6	M7	M8	M9	RD274	RD275	RD278	RD521	RD522	RD573	RD630	RD640
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Bacteroidota	98.44581	91.89158	3.46171	93.7532	9.9233	95.75652	86.59394	97.2727	96.83343	95.62466	94.67948	89.58192	96.18091	93.89232	98.96091	98.0281	9.60647	100.0	10.79653	98.43821	70.61828	68.04621	7.30922	61.90234
k__Bacteria|p__Firmicutes	1.22203	7.02177	96.50845	1.2371	3.29298	0.51476	0.58467	1.1232	0.70021	0.45064	1.11689	6.48217	2.39986	4.45457	0.36766	1.05368	90.39353	0.0	87.81921	0.0	11.35451	31.74393	0.0	31.12139
k__Bacteria|p__Proteobacteria	0.24821	0.46282	0.0	1.91404	85.34319	1.00323	2.75242	0.84919	1.28536	1.08165	1.76328	0.63665	0.58052	0.47603	0.38309	0.13845	0.0	0.0	0.0	0.27541	9.85517	0.0	92.69078	0.0
k__Bacteria|p__Deferribacteres	0.02653	0.0	0.0	0.02227	0.0	0.0	0.2059	0.0	0.0	0.0	0.00118	0.00062	0.0	0.20418	0.0015	0.0	0.0	0.0	1.38426	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia	0.02176	0.0	0.0	2.66922	0.0	2.15547	8.99918	0.63012	0.96939	2.72807	2.07889	2.04131	0.06346	0.65225	0.03809	0.01	0.0	0.0	0.0	1.28638	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria	0.02065	0.62383	0.02983	0.15445	1.44053	0.27298	0.27206	0.08705	0.12098	0.04731	0.26301	1.02807	0.43775	0.0981	0.205	0.65495	0.0	0.0	0.0	0.0	8.17204	0.20986	0.0	6.97627
k__Bacteria|p__Candidatus_Saccharibacteria	0.00895	0.0	0.0	0.16641	0.0	0.27389	0.57358	0.03774	0.08923	0.04399	0.05765	0.18626	0.31479	0.10095	0.04375	0.11481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified	0.00606	0.0	0.0	0.05539	0.0	0.01836	0.0	0.0	0.0	0.0088	0.02937	0.03544	0.02272	0.10879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia	98.14205	91.54411	3.46171	91.45853	9.9233	93.89673	84.24453	93.52882	95.09297	94.05447	93.73	88.71312	94.54816	93.13897	98.32789	97.03806	9.60647	100.0	10.79653	98.43821	70.61828	67.44192	7.30922	60.24216
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.20866	0.46282	0.0	1.66266	0.0	0.92418	2.17829	0.68914	1.18849	1.0565	1.74155	0.58557	0.56735	0.31974	0.37002	0.13693	0.0	0.0	0.0	0.27541	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB37573	0.18023	0.20315	0.0	1.12426	0.0	0.38081	1.11378	1.22286	0.73617	0.2032	0.11617	0.29024	0.36362	0.1038	0.18228	0.36112	0.0	0.0	0.0	0.0	0.0	0.49626	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli	0.14891	6.62997	96.50845	0.14239	3.29298	0.09932	0.29953	0.84077	0.57288	0.1112	0.27635	3.21003	1.71808	0.08743	0.06174	0.44439	90.39353	0.0	87.81921	0.0	11.35451	30.62399	0.0	31.12139
k__Bacteria|p__Firmicutes|c__CFGB9633	0.14048	0.0	0.0	0.02712	0.0	0.01355	0.0	0.0	0.0	0.01405	0.01637	0.00558	0.0	0.10431	0.01103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB78137	0.09765	0.0	0.0	0.01993	0.0	0.00774	0.0	0.0	0.00041	0.0	0.02052	0.02157	0.0	0.07787	0.00563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9657	0.07101	0.0	0.0	0.003	0.0	0.00162	0.0	0.0	0.00343	0.01498	0.01328	0.02861	0.0	0.17052	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB9395	0.06641	0.04311	0.0	0.98299	0.0	1.10424	1.0211	2.27591	0.76674	1.13737	0.66708	0.48605	0.92051	0.41651	0.32814	0.50087	0.0	0.0	0.0	0.0	0.0	0.10804	0.0	1.66018
k__Bacteria|p__Bacteroidota|c__CFGB9388	0.05713	0.10121	0.0	0.12466	0.0	0.36281	0.18561	0.24511	0.23755	0.22963	0.16027	0.08726	0.34863	0.15534	0.1226	0.12805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.03426	0.0	0.0	0.10672	0.0	0.04028	0.43593	0.0	0.05576	0.0	0.00416	0.05109	0.0	0.1002	0.0	0.00152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Deferribacteres|c__Deferribacteres	0.02653	0.0	0.0	0.02227	0.0	0.0	0.2059	0.0	0.0	0.0	0.00118	0.00062	0.0	0.20418	0.0015	0.0	0.0	0.0	1.38426	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9508	0.02638	0.0	0.0	0.00297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB79224	0.02499	0.0	0.0	0.00256	0.0	0.00011	0.0	0.0	0.0	0.0	0.00091	0.0	0.0	0.04179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
