file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)	GC(%)
M10_merged_clean.fastq	FASTQ	DNA	2062758	250040521	1	121.2	150	96.0	126.0	148.0	0	141	96.62	91.79	50.88
M11_merged_clean.fastq	FASTQ	DNA	1855780	227729387	1	122.7	150	98.0	129.0	148.0	0	144	96.34	91.22	51.30
M16_merged_clean.fastq	FASTQ	DNA	342566	40819934	1	119.2	150	96.0	124.0	147.0	0	138	95.82	90.25	45.84
M17_merged_clean.fastq	FASTQ	DNA	16312717	1990272095	1	122.0	150	97.0	127.0	148.0	0	143	96.50	91.48	50.02
M19_merged_clean.fastq	FASTQ	DNA	211723	25250235	1	119.3	150	96.0	122.0	147.0	0	134	95.93	90.50	49.94
M1_merged_clean.fastq	FASTQ	DNA	18665767	2330837283	1	124.9	150	101.0	137.0	149.0	0	146	96.70	91.92	51.74
M20_merged_clean.fastq	FASTQ	DNA	1441263	180976793	1	125.6	150	102.0	139.0	149.0	0	146	96.37	91.27	51.63
M21_merged_clean.fastq	FASTQ	DNA	619579	77115637	1	124.5	150	101.0	137.0	149.0	0	146	96.20	90.94	50.08
M2_merged_clean.fastq	FASTQ	DNA	7546277	945721092	1	125.3	150	103.0	139.0	150.0	0	146	96.63	91.75	51.09
M3_merged_clean.fastq	FASTQ	DNA	1421615	167987407	1	118.2	150	94.0	125.0	148.0	0	143	96.64	91.83	51.81
M4_merged_clean.fastq	FASTQ	DNA	19958446	2461812003	1	123.3	150	99.0	133.0	149.0	0	146	96.66	91.85	52.10
M5_merged_clean.fastq	FASTQ	DNA	9319772	1161583610	1	124.6	150	100.0	139.0	149.0	0	146	96.55	91.62	50.72
M6_merged_clean.fastq	FASTQ	DNA	2261267	278063972	1	123.0	150	99.0	134.0	149.0	0	146	96.65	91.78	49.88
M7_merged_clean.fastq	FASTQ	DNA	9941324	1239359191	1	124.7	150	101.0	138.0	150.0	0	146	96.69	91.89	51.71
M8_merged_clean.fastq	FASTQ	DNA	6033021	746851388	1	123.8	150	100.0	137.0	149.0	0	146	96.64	91.79	50.69
M9_merged_clean.fastq	FASTQ	DNA	2024002	250915573	1	124.0	150	100.0	138.0	150.0	0	146	96.58	91.66	50.18
RD274_merged_clean.fastq	FASTQ	DNA	100239	11176934	1	111.5	150	92.0	124.0	147.0	0	142	95.39	89.54	48.31
RD275_merged_clean.fastq	FASTQ	DNA	89094	9593921	1	107.7	150	87.0	117.0	146.0	0	134	95.37	89.67	50.68
RD278_merged_clean.fastq	FASTQ	DNA	185758	21667423	1	116.6	150	95.0	127.0	148.0	0	143	95.62	89.90	46.79
RD521_merged_clean.fastq	FASTQ	DNA	154214	16793764	1	108.9	150	88.0	115.0	146.0	0	131	95.55	89.97	50.25
RD522_merged_clean.fastq	FASTQ	DNA	141476	16468295	1	116.4	150	94.0	121.0	147.0	0	135	95.83	90.40	49.72
RD573_merged_clean.fastq	FASTQ	DNA	434311	48447880	1	111.6	150	89.0	114.0	146.0	0	129	95.87	90.47	48.27
RD630_merged_clean.fastq	FASTQ	DNA	176476	19973521	1	113.2	150	91.0	118.0	147.0	0	133	96.01	90.76	50.45
RD640_merged_clean.fastq	FASTQ	DNA	240858	26121742	1	108.5	150	87.0	109.0	143.0	0	123	95.87	90.54	48.71
