file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)	GC(%)
M10_merged.fastq	FASTQ	DNA	23359160	3503874000	150	150.0	150	150.0	150.0	150.0	0	150	89.42	82.73	48.38
M11_merged.fastq	FASTQ	DNA	50292952	7543942800	150	150.0	150	150.0	150.0	150.0	0	150	89.41	82.64	49.41
M16_merged.fastq	FASTQ	DNA	39309490	5896423500	150	150.0	150	150.0	150.0	150.0	0	150	89.59	82.84	48.44
M17_merged.fastq	FASTQ	DNA	31575624	4736343600	150	150.0	150	150.0	150.0	150.0	0	150	89.18	82.42	51.90
M19_merged.fastq	FASTQ	DNA	28558084	4283712600	150	150.0	150	150.0	150.0	150.0	0	150	89.61	82.87	48.55
M1_merged.fastq	FASTQ	DNA	33657810	5048671500	150	150.0	150	150.0	150.0	150.0	0	150	90.03	83.48	52.67
M20_merged.fastq	FASTQ	DNA	23170330	3475549500	150	150.0	150	150.0	150.0	150.0	0	150	90.20	83.47	47.78
M21_merged.fastq	FASTQ	DNA	30992962	4648944300	150	150.0	150	150.0	150.0	150.0	0	150	89.76	82.98	47.69
M2_merged.fastq	FASTQ	DNA	35686368	5352955200	150	150.0	150	150.0	150.0	150.0	0	150	90.76	84.23	48.80
M3_merged.fastq	FASTQ	DNA	30535086	4580262900	150	150.0	150	150.0	150.0	150.0	0	150	91.14	84.68	47.63
M4_merged.fastq	FASTQ	DNA	33804296	5070644400	150	150.0	150	150.0	150.0	150.0	0	150	89.89	83.31	53.03
M5_merged.fastq	FASTQ	DNA	24915474	3737321100	150	150.0	150	150.0	150.0	150.0	0	150	89.08	82.38	50.63
M6_merged.fastq	FASTQ	DNA	28902536	4335380400	150	150.0	150	150.0	150.0	150.0	0	150	91.21	84.74	46.95
M7_merged.fastq	FASTQ	DNA	51886752	7783012800	150	150.0	150	150.0	150.0	150.0	0	150	90.16	83.57	49.57
M8_merged.fastq	FASTQ	DNA	35992140	5398821000	150	150.0	150	150.0	150.0	150.0	0	150	90.63	84.07	48.67
M9_merged.fastq	FASTQ	DNA	33138336	4970750400	150	150.0	150	150.0	150.0	150.0	0	150	90.95	84.43	47.69
RD274_merged.fastq	FASTQ	DNA	17138952	2570842800	150	150.0	150	150.0	150.0	150.0	0	150	90.48	83.71	46.45
RD275_merged.fastq	FASTQ	DNA	19772506	2965875900	150	150.0	150	150.0	150.0	150.0	0	150	89.92	83.27	47.13
RD278_merged.fastq	FASTQ	DNA	24435728	3665359200	150	150.0	150	150.0	150.0	150.0	0	150	90.32	83.54	46.77
RD521_merged.fastq	FASTQ	DNA	26856126	4028418900	150	150.0	150	150.0	150.0	150.0	0	150	89.70	83.04	47.86
RD522_merged.fastq	FASTQ	DNA	21844702	3276705300	150	150.0	150	150.0	150.0	150.0	0	150	89.86	83.21	48.12
RD573_merged.fastq	FASTQ	DNA	47977262	7196589300	150	150.0	150	150.0	150.0	150.0	0	150	89.15	82.34	49.20
RD630_merged.fastq	FASTQ	DNA	22052590	3307888500	150	150.0	150	150.0	150.0	150.0	0	150	89.70	83.08	48.24
RD640_merged.fastq	FASTQ	DNA	36986028	5547904200	150	150.0	150	150.0	150.0	150.0	0	150	89.02	82.37	50.09
