PATHWAY SORTORDER,BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,COMP ID,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,HMDB,CB41,CB42,CB43,CB56,CB58,CB59,CB61,CB62,CB63,CB46,CB47,CB48,CB49,CB50,CB51,CB52,CB53,CB54
1637,(12 or 13)-methylmyristate (a15:0 or i15:0),Lipid,"Fatty Acid, Branched",38293,LC/MS Neg,100002344,5499,241.2173,151014,2485-71-4,,HMDB0061707,0.2249,0.1559,0.4375,0.1674,0.588,0.1629,0.249,2.6632,0.3846,1.2499,7.7303,2.9274,1.1004,1.8203,1.3728,0.8996,1.615,1.5339
1648,(16 or 17)-methylstearate (a19:0 or i19:0),Lipid,"Fatty Acid, Branched",38296,LC/MS Neg,100002356,5993,297.2799,3083779,2724-59-6,,HMDB0037397,0.5198,0.5111,0.792,0.94,1.317,1.2455,1.7454,1.4382,1.7329,0.6238,0.809,4.1465,2.2818,0.637,4.946,1.06,0.5818,0.5857
4286,(3'-5')-adenylyladenosine*,Nucleotide,Dinucleotide,62396,LC/MS Neg,100020723,2173,595.142,94231,,,,0.2595,0.799,0.3415,0.2595,2.7122,0.2595,0.8471,2.0391,1.9573,0.3464,2.2615,2.0188,1.073,0.2595,1.7764,0.6389,1,0.4366
4283,(3'-5')-adenylylcytidine,Nucleotide,Dinucleotide,52753,LC/MS Neg,100009062,1920,571.1308,10875494,4833-63-0,,,0.5376,0.5376,0.5376,0.5376,1.3351,0.5376,0.5376,0.5376,1.0581,0.5376,1.3302,1,0.5376,0.5376,0.6531,0.5376,0.6076,0.5376
4284,(3'-5')-adenylylguanosine*,Nucleotide,Dinucleotide,62760,LC/MS Neg,100020724,1980,611.1369,135508729,,,,0.6366,1,0.6366,0.6366,2.7383,0.6366,0.6366,1.4356,0.9657,0.6366,3.964,2.6072,0.6366,0.6366,0.7854,0.6366,0.6846,0.6366
4285,(3'-5')-adenylyluridine,Nucleotide,Dinucleotide,52740,LC/MS Neg,100009060,2002,572.1148,145459093,3051-84-1,,,0.5046,0.5393,0.5046,0.5046,3.3523,0.5046,0.8981,0.5375,2.9259,0.5046,2.8795,2.9378,1.0394,0.5046,1.1911,0.9606,0.5046,0.6093
4291,(3'-5')-guanylyladenosine*,Nucleotide,Dinucleotide,62761,LC/MS Neg,100020725,1950,611.1369,,,,,0.2826,0.8414,0.2826,0.2826,1.1514,0.2826,0.2826,1.0896,0.5728,0.2826,2.3651,1.565,0.4344,0.2826,0.2826,0.2826,1,0.2826
550,(N(1) + N(8))-acetylspermidine,Amino Acid,Polyamine Metabolism,57814,LC/MS Pos Early,100016038,3080,188.1757,123689;496,,"C00612,C01029","HMDB0001276,HMDB0002189",1.4237,0.25,0.3494,1.6313,1.6087,0.9981,0.6324,1.0019,1.4132,0.4602,0.9968,0.132,0.1345,0.3685,1.3795,1.7589,1.6979,2.6652
1920,(S)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",52984,LC/MS Pos Early,100009271,2340,248.1493,71464477,,,HMDB0013127,0.3819,0.3259,0.3859,0.2822,1.1594,0.7492,2.1347,1.4188,3.3807,0.2966,1.1043,0.9215,1.0785,0.2107,5.5994,1.8601,0.5725,1.8148
4707,"1,1-kestotetraose",Xenobiotics,Food Component/Plant,39796,LC/MS Neg,100003047,1381,665.2146,3707011,13133-07-8,,HMDB0039176,1.2587,2.3433,1.9436,1.7603,0.9556,1.662,2.0441,1.0488,0.6438,1.4419,0.4596,0.5648,0.3545,1.0229,0.5145,0.9771,0.5316,0.0092
6215,"1,2,3-benzenetriol sulfate (2)",Xenobiotics,Chemical,48762,LC/MS Neg,100006374,1709,204.9812,54110629;92013662,,,"HMDB0060018,HMDB0060016",4.8406,1.2408,1.388,3.0375,1.5432,1.1286,0.5248,0.2224,2.0233,0.4208,0.5707,0.6049,0.3361,0.8714,1.1833,1.4994,0.5601,0.4695
2984,"1,2-dilinolenoyl-digalactosylglycerol (18:3/18:3)",Lipid,Galactosyl Glycerolipids,54892,LC/MS Pos Late,100009392,1941,954.6149,53480666,,,HMDB0011127,0.7779,2.1027,1.2492,0.659,0.659,0.534,1.0683,0.6161,0.5182,2.8697,0.5193,1.4894,1.0667,1.3161,0.9333,0.5182,0.5182,1.2169
2983,"1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*",Lipid,Galactosyl Glycerolipids,54891,LC/MS Pos Late,100010877,2046,792.562,5282287,,C13871,,0.6146,2.2812,1.0984,1.0833,0.5136,0.8271,1.3236,0.7203,0.4121,2.7119,0.654,1.701,1.0886,1.4485,1,0.5945,0.4121,0.8583
2979,"1,2-dilinoleoyl-digalactosylglycerol (18:2/18:2)*",Lipid,Galactosyl Glycerolipids,54897,LC/MS Pos Late,100010873,2256,958.6462,,,,,0.493,1.8671,1.7899,0.4754,1.3621,0.602,0.7241,1.8463,0.7731,1.8238,1.2199,0.8968,1.2099,1.0116,0.9884,0.6364,0.8256,1.3601
2980,"1,2-dilinoleoyl-galactosylglycerol (18:2/18:2)*",Lipid,Galactosyl Glycerolipids,54899,LC/MS Pos Late,100010879,2415,796.5933,6535011,,,,0.7515,1.931,1.0281,0.96,0.7846,0.9719,1.1032,0.7856,0.8378,2.3119,0.9115,1.5345,1.5382,1.4946,1.2685,0.9145,0.7949,1.1498
2359,"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phosphatidylcholine (PC),52603,LC/MS Pos Late,100008903,2100,782.5694,5288075,998-06-1,,HMDB0008138,0.8552,1.2497,0.5447,0.7829,1.3228,0.7056,3.1877,0.4122,3.2697,1.447,0.6225,1.4359,1.573,0.8701,4.3949,1.1299,0.4353,0.6274
2452,"1,2-dilinoleoyl-GPE (18:2/18:2)*",Lipid,Phosphatidylethanolamine (PE),53174,LC/MS Pos Late,100009217,2150,740.5225,9546812,,,HMDB0009093,1.0304,1.031,0.3517,0.6751,1.6521,0.6456,5.3668,0.3802,4.6425,0.9696,0.5802,1.1623,2.1221,0.6699,6.4461,1.872,0.3435,0.6056
