PATHWAY SORTORDER,BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,COMP ID,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,                                      Group HMDB,CB41,CB42,CB43,CB56,CB58,CB59,CB61,CB62,CB63,CB46,CB47,CB48,CB49,CB50,CB51,CB52,CB53,CB54
1648,(16 or 17)-methylstearate (a19:0 or i19:0),Lipid,"Fatty Acid, Branched",38296,LC/MS Neg,100002356,5993,297.2799,3083779,2724-59-6,,HMDB0037397,1.2027,0.6745,0.9975,1.1049,0.4955,0.8503,0.8897,1.0314,0.572,0.7939,1.0025,1.0245,1.0544,1.5183,1.2254,0.5322,0.9477,1.7422
1498,(2 or 3)-decenoate (10:1n7 or n8),Lipid,Medium Chain Fatty Acid,63436,LC/MS Neg,100021502,4990,169.1234,,,,,0.3938,0.3938,0.3938,0.3938,0.4496,1.452,1.1128,1.1269,1.2244,0.8134,0.6648,0.7255,1.1761,0.669,1.8193,0.3938,0.8872,2.0802
550,(N(1) + N(8))-acetylspermidine,Amino Acid,Polyamine Metabolism,57814,LC/MS Pos Early,100016038,3080,188.1757,123689;496,,"C00612,C01029","HMDB0001276,HMDB0002189",0.9226,1.6241,0.5456,1.1686,0.9058,0.6356,1.1644,1.5621,1.589,0.9938,0.7876,0.7875,1.0062,0.7319,0.7917,2.3127,1.2796,1.0593
1919,(R)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",43264,LC/MS Pos Early,100003926,2400,248.1493,53481617,,,HMDB0013127,0.7899,1.6536,0.6127,0.6643,0.9794,0.6104,1.408,1.2694,1.3601,0.8971,1.0472,0.6469,1.2188,1.0206,0.851,1.4383,0.7575,2.0585
1920,(S)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",52984,LC/MS Pos Early,100009271,2340,248.1493,71464477,,,HMDB0013127,0.7276,1.3112,0.2137,0.5979,1.0298,0.6053,1.0895,1.8159,1.2765,0.6834,0.735,0.7064,0.9702,0.765,3.1233,1.7957,1.0343,3.5633
6215,"1,2,3-benzenetriol sulfate (2)",Xenobiotics,Chemical,48762,LC/MS Neg,100006374,1709,204.9812,54110629;92013662,,,"HMDB0060018,HMDB0060016",0.7795,1.4376,1.2334,2.1502,1.433,0.7253,2.5845,0.5228,0.7655,1.8037,1.8567,1.1061,0.2193,0.3889,0.4175,1.2145,0.8939,0.6222
2359,"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phosphatidylcholine (PC),52603,LC/MS Pos Late,100008903,2100,782.5694,5288075,998-06-1,,HMDB0008138,1.2681,1.0963,1.4102,0.7314,0.9995,0.9828,1.2032,0.9468,0.9351,0.9976,1.0005,1.0398,0.9046,1.0648,0.8098,1.1441,0.9959,1.0436
2452,"1,2-dilinoleoyl-GPE (18:2/18:2)*",Lipid,Phosphatidylethanolamine (PE),53174,LC/MS Pos Late,100009217,2150,740.5225,9546812,,,HMDB0009093,0.7402,1.5271,0.8896,0.4025,1.6021,0.8662,1.1582,1.0139,1.4255,1.2472,0.8351,0.5134,0.9861,0.5759,1.0648,1.125,0.8533,1.0167
2278,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC),19130,LC/MS Pos Late,100000657,2450,734.5694,452110,63-89-8,D03585,HMDB0000564,1.2025,1.2829,1.1757,0.9721,0.9175,1.0203,0.7681,0.9513,0.9067,0.995,1.0689,1.1274,0.9543,1.005,1.0529,0.9694,0.923,1.4081
2404,"1,2-dipalmitoyl-GPE (16:0/16:0)*",Lipid,Phosphatidylethanolamine (PE),57341,LC/MS Pos Late,100009204,2498,692.5225,445468,,,HMDB0008923,2.6644,2.196,2.3188,0.7338,1,0.66,0.9826,1.6847,1.3786,0.8958,2.553,1.347,0.6985,0.66,0.9315,0.8919,0.8247,1.284
