PATHWAY SORTORDER,BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,COMP ID,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,HMDB,CB41,CB42,CB43,CB56,CB58,CB59,CB61,CB62,CB63,CB46,CB47,CB48,CB49,CB50,CB51,CB52,CB53,CB54
1637,(12 or 13)-methylmyristate (a15:0 or i15:0),Lipid,"Fatty Acid, Branched",38293,LC/MS Neg,100002344,5499,241.2173,151014,2485-71-4,,HMDB0061707,1447584.00,1003440.19,2816296.00,1077640.25,3785464.00,1048480.81,1602795.88,17145384.00,2476070.00,8046729.00,49766308.00,18846256.00,7084190.00,11718431.00,8837589.00,5791435.00,10397018.00,9874988.00
1648,(16 or 17)-methylstearate (a19:0 or i19:0),Lipid,"Fatty Acid, Branched",38296,LC/MS Neg,100002356,5993,297.2799,3083779,2724-59-6,,HMDB0037397,206306.02,202867.00,314346.00,373080.00,522754.03,494354.00,692768.00,570846.00,687809.00,247582.00,321094.00,1645813.00,905663.06,252822.02,1963135.88,420746.97,230906.00,232491.02
4286,(3'-5')-adenylyladenosine*,Nucleotide,Dinucleotide,62396,LC/MS Neg,100020723,2173,595.142,94231,,,,,58238.00,24888.00,,197689.00,,61747.00,148627.00,142669.00,25246.00,164839.00,147148.00,78207.00,18917.00,129480.00,46566.00,72889.00,31824.00
4283,(3'-5')-adenylylcytidine,Nucleotide,Dinucleotide,52753,LC/MS Neg,100009062,1920,571.1308,10875494,4833-63-0,,,,,,,84042.00,,,33842.00,66608.00,,83732.00,62948.00,,,41109.00,,38249.00,
4284,(3'-5')-adenylylguanosine*,Nucleotide,Dinucleotide,62760,LC/MS Neg,100020724,1980,611.1369,135508729,,,,,32896.00,,,90078.00,,,47225.00,31769.00,,130401.00,85767.00,20941.20,,25837.00,,22520.00,
4285,(3'-5')-adenylyluridine,Nucleotide,Dinucleotide,52740,LC/MS Neg,100009060,2002,572.1148,145459093,3051-84-1,,,,23587.00,,,146615.00,,39280.00,23507.00,127963.99,,125936.00,128486.01,45456.00,,52093.00,42014.00,22069.00,26647.00
4291,(3'-5')-guanylyladenosine*,Nucleotide,Dinucleotide,62761,LC/MS Neg,100020725,1950,611.1369,,,,,,23297.00,,,31883.00,,,30171.00,15860.00,,65490.00,43335.00,12027.30,,7825.10,,27690.00,
550,(N(1) + N(8))-acetylspermidine,Amino Acid,Polyamine Metabolism,57814,LC/MS Pos Early,100016038,3080,188.1757,123689;496,,"C00612,C01029","HMDB0001276,HMDB0002189",6766362.00,1187985.00,1660683.00,7752980.00,7645377.50,4743505.00,3005452.25,4761706.00,6716236.00,2187333.00,4737299.00,627186.00,639031.00,1751320.00,6556271.00,8359442.00,8069296.00,12666827.00
1920,(S)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",52984,LC/MS Pos Early,100009271,2340,248.1493,71464477,,,HMDB0013127,287479.00,245280.00,290430.00,212413.00,872638.06,563886.00,1606742.13,1067891.00,2544533.00,223261.00,831208.00,693617.00,811725.00,158625.00,4214543.00,1400035.00,430928.00,1365967.00
4707,"1,1-kestotetraose",Xenobiotics,Food Component/Plant,39796,LC/MS Neg,100003047,1381,665.2146,3707011,13133-07-8,,HMDB0039176,3353780.00,6243413.00,5178513.00,4690263.00,2546115.00,4428334.00,5446263.00,2794524.75,1715277.00,3841846.00,1224524.00,1504731.00,944587.00,2725544.00,1370970.00,2603277.00,1416522.00,24468.00
