PATHWAY SORTORDER,BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,COMP ID,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,                                      Group HMDB,CB41,CB42,CB43,CB56,CB58,CB59,CB61,CB62,CB63,CB46,CB47,CB48,CB49,CB50,CB51,CB52,CB53,CB54
1648,(16 or 17)-methylstearate (a19:0 or i19:0),Lipid,"Fatty Acid, Branched",38296,LC/MS Neg,100002356,5993,297.2799,3083779,2724-59-6,,HMDB0037397,3139962,1761021,2604145,2884510,1293597,2219957,2322855,2692698,1493307,2072637,2617288,2674587,2752800,3963924.25,3199199,1389422,2474280,4548307
1498,(2 or 3)-decenoate (10:1n7 or n8),Lipid,Medium Chain Fatty Acid,63436,LC/MS Neg,100021502,4990,169.1234,,,,,,,,,109506,353680,271057,274509,298251,198140,161932,176721,286472,162949,443168,95921,216119,506719
550,(N(1) + N(8))-acetylspermidine,Amino Acid,Polyamine Metabolism,57814,LC/MS Pos Early,100016038,3080,188.1757,123689;496,,"C00612,C01029","HMDB0001276,HMDB0002189",982116,1728947,580838,1244018,964257,676639,1239579,1662926,1691572,1057895,838471,838331,1071199,779136,842793,2461963,1362206,1127622
1919,(R)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",43264,LC/MS Pos Early,100003926,2400,248.1493,53481617,,,HMDB0013127,5377119,11256278,4170820.25,4522170,6666922,4154769.75,9584008,8640724,9258337,6106803,7128034,4403185,8296386.5,6947154,5792936,9790841,5156373,14011999
1920,(S)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",52984,LC/MS Pos Early,100009271,2340,248.1493,71464477,,,HMDB0013127,2842293,5122356,834741,2335821,4023086.25,2364595,4256163,7093958,4986773,2669515,2871315,2759530,3789932,2988431,12201282,7015054,4040551,13920083
6215,"1,2,3-benzenetriol sulfate (2)",Xenobiotics,Chemical,48762,LC/MS Neg,100006374,1709,204.9812,54110629;92013662,,,"HMDB0060018,HMDB0060016",1190559,2195721,1883775,3284015,2188692,1107822,3947386.75,798531,1169216,2754800,2835742,1689349,335012,593916,637650,1855003.13,1365330,950334.94
2359,"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phosphatidylcholine (PC),52603,LC/MS Pos Late,100008903,2100,782.5694,5288075,998-06-1,,HMDB0008138,116458088,100674480,129501240,67163408,91787792,90258368,110492776,86949736,85876592,91613216,91878904,95492840,83069800,97781664,74367920,105069104,91457304,95832920
2452,"1,2-dilinoleoyl-GPE (18:2/18:2)*",Lipid,Phosphatidylethanolamine (PE),53174,LC/MS Pos Late,100009217,2150,740.5225,9546812,,,HMDB0009093,383547,791307,460967,208569,830190,448874,600189,525411,738688,646303,432728,266055,510971,298425,551784,582990,442190,526837
2278,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC),19130,LC/MS Pos Late,100000657,2450,734.5694,452110,63-89-8,D03585,HMDB0000564,30912084,32978006,30223082,24988040,23584384,26228460,19746048,24455310,23308200,25578066,27478194,28980318,24531092,25834382,27067030,24918636,23727292,36197968
2404,"1,2-dipalmitoyl-GPE (16:0/16:0)*",Lipid,Phosphatidylethanolamine (PE),57341,LC/MS Pos Late,100009204,2498,692.5225,445468,,,HMDB0008923,318224,262286,276950,87644,119436,78830,117363,201214,164656,106996,304924,160883,83421,,111254,106527,98496,153356
1220,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,LC/MS Neg,100000580,802,163.0612,64960,154-58-5,C07326,HMDB0002712,57772732,57875080,60341744,59810308,64099224,58900944,60450992,48622052,56967420,49037312,63719916,57930272,63819716,56507168,37098208,51121900,54782404,39561544
2804,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,Plasmalogen,52673,LC/MS Pos Late,100009002,2300,724.5276,52925126,,,HMDB0011352,3498438,3201812,3237260,2467056,2707840,3020330,2793232,3451313.75,3202494,2898715,3921343.75,3485337,3444524.75,3101929,2963818,3771434.25,3314221,2815734
2814,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,Lipid,Plasmalogen,52682,LC/MS Pos Late,100009009,2300,742.5745,24779386,,,HMDB0011211,2519050,2205053,3374236,2027250,2365608,1923330,2599669,2124601,2468033,1877437,2484212,2368257,3051875,2322700,1991181.88,3570382,2265729,2239713
2801,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,Lipid,Plasmalogen,52677,LC/MS Pos Late,100009069,2400,700.5276,52925127,,,HMDB0011343,729306,650787,576046,357332,509694,477755,941351.94,791422,794811,673614,890898.06,633235,772153.06,874744,834229,1098295,751787.94,624657
2806,1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,Lipid,Plasmalogen,52478,LC/MS Pos Late,100009007,2550,744.5902,34779384,,,HMDB0007996,1061491,1086615,1203651,861732,819043.06,847085.06,785675,768430,676123,630180,702119,777823,859228.06,831104,508224,924074,818873,666002
